Jobs,CTP Procssed,Plate Received,Material Cost,Plotter Exp,No. of Die ,Die Cost,Block Cost,Positive Prep ,Positive Prep Cost,Printing Que,Printing(Outsource),Lami,Foiling,Foiling Cost,Corrugation,Corrougation Cost,Double Pasting,Total
TCB-10162-A,752,4,10078,100,1,1000,,,,,,,,,,,,11930
TCB-10169-A,5041,17,23390,200,1,1400,,,,,,,,,,,,30031
TCB-10191-A,188,1,6828,100,1,1000,,,,,,,,,,,,8116
TCB-10192-A,188,1,2800,100,1,400,,,,,,,,,,,,3488
TCB-10194-A,376,2,11759,200,2,2000,,,,,,,,,,,,14335
TCB-10193-A,376,2,5231,100,1,600,,,,,,,,,,,,6307
TCB-9968-P,9469,17,81037,100,2,3200,,,,,,,,,,,,93806
TCB-10151-A,940,5,6520,200,2,2000,,,,,,,,,,,,9660
TCB-10158-A,376,2,1502,100,2,1100,,,,,,,,,,,,3078
TCB-10078-A,1114,2,6094,200,2,2600,,,,,,,,,,,,10008
TCB-10144-A,940,5,14000,200,2,1600,,,,,,,,,,,,16740
TCB-10135-P,564,3,1180,200,1,400,1417,,,,,,,,,,,3761
TCB-10100-A,2792,7,39607,200,2,3600,4709,,,,,,,,,,,50908
TCB-10156-A,564,3,26845,100,1,1200,,,,,,,,,,,,28709
TCB-10180-S,1671,3,1960,0,10,800,,,,,,,,,,,,4431
TCB-10203-A,1,1,268,100,1,600,,,,,,,,,,,,969
TCB-10004-A,1671,3,12448,100,1,1400,,,,,,,,,,,,15619
TCB-10201-A,940,5,13409,100,1,800,,,,,,,,,,,,15249
TCB-10213-A,564,3,1565,200,2,4200,,,,,,,,,,,,6529
TCB-10226-A,564,3,6520,0,1,1400,4510,,500,,,,,,,,,13494
TCB-10099-A,8000,8,22534,100,1,1000,,,,,19500,,,,,2142,,53276
TCB-10124-A,188,1,4238,0,1,1200,,,,,,,,,,,,5626
TCB-10163-A,1692,9,143089,300,3,3200,5468,,,,,,,,,,,153749
TCB-10196-A,1114,2,8535,200,2,1200,,,,,,,,,,,,11049
TCB-10175-A,188,1,11205,100,1,500,,,,,,,,,,,,11993
TCB-10205-A,2228,4,6259,100,1,1600,,,,,,,,,,,,10187
TCB-10207-A,752,4,15648,200,2,2000,,,,,,,,,,,,18600
TCB-10215-A,1692,9,2683,100,1,1000,,,,,,,,,,,,5475
TCB-SW11428,1114,2,7381,100,1,1400,,,,,,,,,,,,9995
TCB-10197-P,1692,9,10481,100,2,1200,,,,,,,,,,,,13473
TCB-9911-A,8000,8,80620,100,2,5200,,,,,14000,,,,,,,107920
TCB-10142-A,4000,4,19863,200,2,4400,,,,,8000,,,,,,,36463
TCB-10121-A,1692,9,9639,100,1,1400,,,,,,,,,,,,12831
TCB-10179-A,2785,5,8638,100,2,1200,,,,,,,,,,,,12723
TCB-10123-A,2228,4,19560,100,2,3200,,,,,,,,,,,,25088
TCB-10111-A,376,2,3912,100,1,1200,,,,,,,,,,,,5588
TCB-10173-A,752,4,5043,100,1,700,,,,,,,,,,,,6595
TCB-10206-A,940,5,18510,100,1,1200,,,,,,,,,,,,20750
TCB-10254-A,376,2,1502,100,1,400,,,,,,,,,,,,2378
TCB-9929-A,1114,2,27641,100,1,1500,,,,,,,,,,,,30355
