TCB-9438-A,752,4,,771,600,,,200,,,,,,,,,
TCB-9447-A,557,1,,11584,4900,,,,,,,,,,,,
TCB-9458-A,940,5,,5095,700,,,,,,,,,,,,
TCB-9459-A,376,2,,5556,1400,,,,,,,,,,,,
TCB-9462-A,2444,13,,3513,900,,,,,,,,,,,,
TCB-9465-A,2256,12,,37989,2400,,,,,,,,,,,,
TCB-9467-A,6000,6,,31703,2400,,,,,19000,,,,,,,
TCB-9513-A,0,0,,25432,1600,,,,,,,,,,,,
TCB-9471-A,0,old,,29849,0,,,,,,,,,,,,
TCB-9474-A,0,0,,3982,900,,,,,,,,,,,,
TCB-8479-A,1671,3,,16348,3000,,,,,,,,,,,,
TCB-9417-A,5770,10,,50089,2400,,,,,,,,,,,,
TCB-9425-A,1114,2,,4736,2500,,,,,,,,,,,,
TCB-9437-A,0,Nil,,2604,1500,,,,,,,,,,,,
TCB-9441-A,3384,18,,29911,700,,,,,,,,,,,,
TCB-9466-A,188,1,,31200,2000,,,200,,,,,,,,,
TCB-9468-A,376,2,,10809,2600,,,,,,,,,,,,
TCB-9469-A,0,0,,21314,0,,,,,,,,,,,,
TCB-9477-A,0,0,,5213,1100,,,,,,,,,,,,
TCB-9478-A,752,4,,10885,1800,,,,,,,,,,,,
TCB-9479-A,188,1,,16245,1000,,,,,,,,,,,,
TCB-9501-A,0,Nil,,26339,0,,,,,,,,,,,,
TCB-9463-A,188,1,,7412,700,1010,,,,,,,,,,,
TCB-9476-A,2228,4,,4857,1100,,,,,,,,,,,,
TCB-9482-A,0,0,,5117,1400,,,400,,,,,,,,,
TCB-9483-A,940,5,,2835,900,,,,,,,,,,,,
TCB-9486-A,752,4,,4106,700,,,,,,,,,,,,
TCB-9487-A,376,2,,5631,900,,,,,,,,,,,,
TCB-9140-R,0,old,,25394,2500,,,,,,,,,,11400,,
TCB-9384-S,752,4,,2812,1800,10277,,,,,,,,,,,
TCB-9484-A,2068,11,,7577,700,,,400,,,,,4000,,,,
TCB-9494-A,0,0,,3324,1400,9568,,948,,,,,,,,,
TCB-9500-A,0,nil,,30098,1200,9836,,,,,,,,,,,
TCB-9503-A,0,nil,,1538,900,,,,,,,,,,,,
TCB-9504-A,0,nil,,1410,500,,,,,,,,,,,,
TCB-9506-A,1692,9,,10309,2000,,,,,,,,,,,,
TCB-9507-A,1504,8,,4059,1800,,,,,,,,,,,,
TCB-9508-A,0,Nil,,24000,2400,6395,,,,,,,,,,,
TCB-9512-A,2785,5,,134150,3700,,,,,,,,,,,,
TCB-9008-A,4456,8,,44685,0,,,,,,,,,,,,
TCB-9269-A,376,2,,52000,1100,3430,,,,,,,,,,,
TCB-9310-S,188,1,,884,900,500,,,,,,,,,,,
TCB-9420-A,188,1,,24000,1100,,,,,,,,,,,,
TCB-9480-A,2228,4,,8197,1300,,,,,,,,,,,,
TCB-9495-A,19495,23,,9619,2400,,,,,,,,,,9690,,
TCB-9497-A,564,3,,7859,900,,,,,,,,,,,,
TCB-9498-A,2256,12,,6800,1400,,,,,,,,,,,,
TCB-9499-A,0,0,,2028,0,,,,,,,,,,,,
TCB-9509-A,2238,6,,23942,800,,,,,,,,7950,,,,
TCB-9510-A,2000,2,,38007,2900,,,,,,,,,,34200,,
TCB-9515-A,0,Nil,,10765,1500,,,,,,,,,,,,
TCB-9518-A,0,0,,71000,3600,590,,,,,,,,,,,
TCB-9524-A,0,Nil,,38500,3300,,,,,,,,,,,,
TCB-9526-A,1880,10,,2845,700,,,,,,,,,,,,
TCB-8095-A,0,0,,3319,700,,,,,,,,,,,,
TCB-9443-A,376,2,,982,900,,,,,,,,,,,,
TCB-9492-A,940,5,,26529,3500,,,,,,,,,,,,
TCB-9516-A,0,0,,14718,1000,,,,,,,,,,,,
TCB-9517-A,376,2,,3556,1300,,,,,,,,,,4788,,
TCB-9520-A,188,1,,3622,1100,,,,,,,,,,,,
