TCB-11115-A,21500,20,195625,150,1,600,,300,56000,,53133,1290,15000,342308
TCB-10776-A,410,2,2322,150,1,400,1170,785,,500,,1890,,5737
TCB-11125-A,410,2,1960,150,1,600,,,,2300,,1790,,5420
TCB-11147-A,820,4,9712,150,1,700,,,,,,,,11382
TCB-11168-A,820,4,3253,150,1,800,,,,,,1400,,5023
TCB-11171-A,410,2,4961,300,1,700,3060,546,,1150,,,,11127
TCB-11181-A,820,4,3114,150,1,600,,,,,,17000,,4684
TCB-10920-R,0,0,784,100,2,1400,,,,,,,,2284
TCB-11113-A,820,4,55574,150,1,1200,800,663,,,,,,59207
TCB-10046-A,4100,20,22484,400,4,5500,,,,,,,,32484
TCB_11150-A,1230,6,25476,150,1,1500,,,,,,,,28356
TCB-11094-A,3075,15,8135,150,1,600,,,,,,2600,,11960
TCB-11164-A,557,1,9039,150,1,600,,,,,10600,13500,,20946
TCB-11172-A,1176,2,5489,150,1,800,,2400,,750,,,,10765
TCB-11161-A,820,4,8340,300,2,2200,1113,1000,,750,,,,14523
TCB-11175-A,1176,2,3573,150,1,1200,,,,,6981,,,13080
TCB-11083-A,820,4,21244,150,1,1300,,,,,,1920,,23514
TCB-11035-R,205,1,8135,150,1,1000,,,,,,,,9490
TCB-11091-A,1230,6,3000,150,1,1300,,,,,,,,5680
TCB-11046-A,410,2,16613,150,1,600,1004,600,,,,,,19377
TCB-11124-A,5375,5,10537,150,1,2600,,,20000,,,14000,,38662
TCB-11119-A,205,2,3940,150,2,2400,5040,800,,500,,,,13035
TCB-11177-A,615,3,12315,150,1,1000,,,,,,,,14080
TCB-11192-A,410,2,24631,0,2,1400,,,,,,,,26441
TCB-11042-A,4300,4,2301,300,2,4400,,,11000,,7590,,13000,42891
TCB-11140-A,2150,2,28326,150,1,2600,574,,11000,,,13400,,44800
TCB-11132-A,1845,9,46360,150,1,1000,928,,,,,,,50283
TCB-11156-A,4704,8,40025,300,2,2800,,,,,,,,47829
TCB-11184-A,1764,3,155791,300,2,3000,,,,,,,,160855
TCB-11189-A,820,4,5419,100,1,400,,,,,,,,6739
TCB-11162-A,1640,8,3959,150,1,1200,,,,,,1500,,6949
TCB-11193-P,2557,6,1480,300,1,2600,,,,,,690,,6937
TCB-11191-A,1230,6,42007,150,2,1800,,,,,,,,45187
TCB-11208-A,1764,3,9461,100,1,1400,,,,500,,,,13225
TCB-11205-A,410,2,6402,100,1,1200,,,,,,,,8112
TCB-de12696- A,205,1,1500,150,1,900,,,,,,,,2755
TCB-11102-A,588,1,18473,150,1,2400,,,,,,,,21611
TCB-11136-A,2255,11,26311,600,4,4800,5040,,,,,18760,,39006
TCB-10578-R,1640,8,7784,0,0,0,,,,,,,,9424
TCB-11158-A,205,1,16184,300,2,2000,,,,,,,,18689
TCB-11179-A,205,1,31520,150,1,1200,,,,,,,,33075
