Jobs,CTP Procssed,Plate Received,Material Cost,Plotter Exp,No. of Die ,Die Cost,Block Cost,Positive Prep ,Positive Prep Cost,Printing Que,Printing(Outsource),Lami,Foiling,Foiling Cost,Corrugation,Corrougation Cost,Double Pasting,Total
TCB-10003-A,188,1,336268,100,1,4000,,,,,,,,,,,,340556
TCB-10005-A,557,1,4808,100,1,600,,,,,,,,,,,,6065
TCB-10019-A,188,1,8077,100,1,600,,,,,,,,,,,,8965
TCB-9998-A,376,2,1707,100,,,,,,,,,,,,,,2183
TCB-9687-A,752,4,36075,100,1,1200,,,1388,,,,,,,,,39515
TCB-9931-S,188,1,894,100,1,600,,,,,,,,,,,,1782
TCB-9013-P,1692,9,11008,100,2,1400,,,200,,,,,,,,,14400
TCB-9980-A,1671,3,1016,100,1,1000,500,,400,,,,,,,,,4687
TCB-9983-A,2000,2,1986,100,2,1000,,,,,,,,,,,,5086
TCB-9992-A,188,1,2723,100,1,600,,,,,,,,,,,,3611
TCB-9890-A,752,4,13065,100,1,800,,,,,,,,,,,,14717
TCB-10006-A,376,2,2613,100,1,1000,,,,,,,,,,,,4089
TCB-9687-A,752,4,36075,100,1,1200,,,1388,,,,,,,,,39515
TCB-9906-A,3342,6,15440,100,1,1200,,,,,,,,,,,,20082
TCB-9905-A,5013,9,8974,100,1,1000,,,,,,,,,,,,15087
TCB-7977-S,3342,6,2805,100,1,1200,,,,,,,,,,,,7447
TCB-9084-A,2256,12,12986,300,4,2100,,,,,,,,,,,,17642
TCB-9866-A,1880,10,2903,100,1,600,,,,,,,,,,,,5483
TCB-9937-A,2785,5,34325,100,1,1000,,,,,,,,,,,,38210
TCB-9962-S,0,OLD,4042,100,2,1000,1724,,600,,,,,,,,,7466
TCB-9013-P,564,3,11008,400,6,4200,,,,,,,,,,,,16172
TCB-9549-A,376,2,915,200,2,600,,,,,,,,,,,,2091
TCB-9993-A,752,4,2260,100,1,600,,,,,,,,,,,,3712
TCB-9889-P,0,OLD,31437,400,3,3200,,,1264,,,,,,,,,36301
TCB-9919-A,5000,5,50075,100,1,2000,,,,,20000,,,,,,,77175
TCB-9691-R,0,OLD,5335,100,1,600,,,,,,,,,,,,6035
TCB-9916-A,1114,2,3942,100,1,1200,,,,,,,,,,,,6356
TCB-9963-A,564,3,15120,100,1,500,,,,,,,,,,,,16284
TCB-9874-A,1114,2,13562,100,1,1400,,,,,,,,,,,,16176
TCB-9965-A,188,1,5342,100,1,1200,,,,,,,,,,,,6830
TCB-9977-A,376,2,4006,100,1,600,,,,,,,,,,,,5082
TCB-9790-A,4700,25,60968,100,1,1400,,,,,,,,,,,,67168
TCB-9831-A,2228,4,1707,400,4,3100,,,705,,,,,,,,,8140
TCB-10000-A,752,4,5688,200,3,1400,2851,,,,,,,,,,,10891
TCB-10016-A,564,3,14236,100,1,600,,,400,,,,,,,4700,,20600
TCB_9930-A,12000,12,67706,300,3,5168,,,,,42000,,,,,,,127174
